ID,Scenario,New Pipeline,Costs,Capturable CO2 (kt),Lat1,Long1,SUM(Total cost toggle),Latitude (generated),Longitude (generated),ATTR(CO2 emissions (kt)),ATTR(Capturable CO2 (kt)),ATTR(Capture cost - high (EUR/t CO2)),ATTR(Capture costs - low (EUR/t CO2)),ATTR(Facility name),ATTR(Sector_reviewed),ATTR(Selected storage),ATTR(Selected transport),ATTR(Total costs - high (EUR/t CO2)),ATTR(Total costs - low (EUR/t CO2)),ATTR(Transport + storage (EUR/t) - high),ATTR(Transport + storage (EUR/t) - low)
853,Short term,Not possible,High estimates,328.9932,49.7395290889,13.3454611694,284.74245987707013,49.7395290889,13.3454611694,366,328.9932,125,65,Teplárna ELÚ III,Power and heat,Storage far,Railway 0_5,284.74245987707013,199.74245987707016,159.74245987707016,134.74245987707016
854,Short term,Not possible,High estimates,328.5,52.4233940921,13.3096091732,187.71596665026217,52.4233940921,13.3096091732,365,328.5,125,60,Vattenfall Wärme Berlin AG HKW Lichterfelde,Power and heat,Storage far,Pipeline 0_10,187.71596665026217,97.71596665026217,62.715966650262175,37.715966650262175
855,Short term,Not possible,High estimates,328.5,43.330897,-5.773367,165.22935467981256,43.330897,-5.773367,365,328.5,105,55,TUDELA VEGUIN - FÁBRICA DE CALES Y CEMENTOS DE TUDELA VEGUÍN,Non-metallic minerals,Storage point 400_500,Pipeline 0_10,165.22935467981256,90.22935467981256,60.22935467981256,35.22935467981256
856,Short term,Not possible,High estimates,328.05,43.45,4.9,187.24796960419957,43.45,4.9,729,328.05,110,55,Raffinerie ESSO,Refinery,Storage point 400_500,Coastline 0_10,187.24796960419957,107.24796960419957,77.24796960419957,52.24796960419956
857,Short term,Not possible,High estimates,327.6,50.317472,22.323611,284.74245987707013,50.317472,22.323611,364,327.6,125,65,Polenergia Elektrociepłownia Nowa Sarzyna Spółka z o.o.,Power and heat,Storage far,Railway 0_5,284.74245987707013,199.74245987707016,159.74245987707016,134.74245987707016
858,Short term,Not possible,High estimates,327.6,51.4732,-3.1469,197.47141038837816,51.4732,-3.1469,364,327.6,125,60,Cardiff Energy Recovery Facility,Waste management,Storage point 300_400,Coastline 0_10,197.47141038837816,107.47141038837816,72.47141038837816,47.47141038837816
859,Short term,Not possible,High estimates,325.5,58.75428566,14.80505683,202.79631346624498,58.75428566,14.80505683,434,325.5,115,55,Ahlstrom-Munksjö Aspa Bruk AB,Pulp and paper,Storage point 400_500,Coastline 50_100,202.79631346624498,117.79631346624498,87.79631346624498,62.796313466244975
860,Short term,Not possible,High estimates,325.49850000000004,51.4855,-0.046437,196.46211683757298,51.4855,-0.046437,362,325.49850000000004,125,60,SELCHP Energy Recovery Facility,Waste management,Storage point 200_300,Coastline 10_50,196.46211683757298,106.46211683757298,71.46211683757298,46.46211683757297
861,Short term,Not possible,High estimates,324.9144,49.9102782611,14.0571084889,269.74245987707013,49.9102782611,14.0571084889,361,324.9144,110,55,"Vápenka Čertovy schody, a.s.",Non-metallic minerals,Storage far,Railway 0_5,269.74245987707013,189.74245987707016,159.74245987707016,134.74245987707016
862,Short term,Not possible,High estimates,324.90000000000003,65.7696,24.1757,214.18936764375306,65.7696,24.1757,361,324.90000000000003,125,60,"Tornion Voima Oy, Röyttän teollisuusalueen voimalaitos ja kattilalai",Power and heat,Storage far,Coastline 0_10,214.18936764375306,124.18936764375306,89.18936764375306,64.18936764375306
